,name,time,path,mse_path,predict_path
0,"1,2,2,1_gradient",0.143263751,"1,2,2,1_gradient_test","results/1,2,2,1_gradient_test_mse.csv","results/1,2,2,1_gradient_test_predict.csv"
1,"1,2,2,1_evolution",4.141814076999999,"1,2,2,1_evolution_test","results/1,2,2,1_evolution_test_mse.csv","results/1,2,2,1_evolution_test_predict.csv"
2,"1,5,5,1_gradient",0.15724427399999996,"1,5,5,1_gradient_test","results/1,5,5,1_gradient_test_mse.csv","results/1,5,5,1_gradient_test_predict.csv"
3,"1,5,5,1_evolution",101.687588009,"1,5,5,1_evolution_test","results/1,5,5,1_evolution_test_mse.csv","results/1,5,5,1_evolution_test_predict.csv"
4,"1,10,10,1_gradient",0.1423836560000069,"1,10,10,1_gradient_test","results/1,10,10,1_gradient_test_mse.csv","results/1,10,10,1_gradient_test_predict.csv"
5,"1,10,10,1__evolution",1560.952457823,"1,10,10,1__evolution_test","results/1,10,10,1__evolution_test_mse.csv","results/1,10,10,1__evolution_test_predict.csv"
6,"1,2,10,1_gradient",0.1452517960001387,"1,2,10,1_gradient_test","results/1,2,10,1_gradient_test_mse.csv","results/1,2,10,1_gradient_test_predict.csv"
7,"1,2,10,1__evolution",441.40263328000015,"1,2,10,1__evolution_test","results/1,2,10,1__evolution_test_mse.csv","results/1,2,10,1__evolution_test_predict.csv"
8,"1,10,2,1_gradient",0.1475346110000828,"1,10,2,1_gradient_test","results/1,10,2,1_gradient_test_mse.csv","results/1,10,2,1_gradient_test_predict.csv"
9,"1,10,2,1_evolution",50.547335746000044,"1,10,2,1_evolution_test","results/1,10,2,1_evolution_test_mse.csv","results/1,10,2,1_evolution_test_predict.csv"
10,"1,20,20,1_gradient",0.17640362800011644,"1,20,20,1_gradient_test","results/1,20,20,1_gradient_test_mse.csv","results/1,20,20,1_gradient_test_predict.csv"
11,"1,20,20,1_evolution",7304.398953698999,"1,20,20,1_evolution_test","results/1,20,20,1_evolution_test_mse.csv","results/1,20,20,1_evolution_test_predict.csv"
